Name;Position;Duration;EasyTag
17;00:15:47.000;00:00:01.000;EasyTag
18;00:15:48.000;00:00:04.000;EasyTag
9;00:15:52.000;00:00:03.000;EasyTag
3;00:15:55.000;00:00:04.000;EasyTag
11;00:15:59.000;00:00:02.000;EasyTag
27;00:16:01.000;00:00:10.000;EasyTag
12;00:16:11.000;00:00:17.000;EasyTag
14;00:16:28.000;00:00:12.000;EasyTag
23;00:16:40.000;00:00:03.000;EasyTag
25;00:16:43.000;00:00:01.000;EasyTag
21;00:16:44.000;00:00:01.000;EasyTag
22;00:16:45.000;00:00:02.000;EasyTag
28;00:16:47.000;00:00:07.000;EasyTag
13;00:16:54.000;00:00:02.000;EasyTag
19;00:16:56.000;00:00:02.000;EasyTag
26;00:17:00.000;00:00:01.000;EasyTag
24;00:17:01.000;00:00:22.000;EasyTag
6;00:17:23.000;00:00:02.000;EasyTag
18;00:17:25.000;00:00:02.000;EasyTag
9;00:17:27.000;00:00:01.000;EasyTag
17;00:17:28.000;00:00:02.000;EasyTag
10;00:17:30.000;00:00:01.000;EasyTag
8;00:17:31.000;00:00:05.000;EasyTag
27;00:17:36.000;00:00:17.000;EasyTag
16;00:17:53.000;00:00:01.000;EasyTag
2;00:17:54.000;00:00:03.000;EasyTag
12;00:17:57.000;00:00:02.000;EasyTag
25;00:17:59.000;00:00:02.000;EasyTag
7;00:18:01.000;00:00:21.000;EasyTag
23;00:18:22.000;00:00:02.000;EasyTag
22;00:18:24.000;00:00:02.000;EasyTag
26;00:18:26.000;00:00:02.000;EasyTag
19;00:18:28.000;00:00:01.000;EasyTag
14;00:18:29.000;00:00:07.000;EasyTag
9;00:18:36.000;00:00:01.000;EasyTag
24;00:18:37.000;00:00:02.000;EasyTag
3;00:18:39.000;00:00:02.000;EasyTag
11;00:18:41.000;00:00:02.000;EasyTag
28;00:18:43.000;00:00:05.000;EasyTag
13;00:18:48.000;00:00:02.000;EasyTag
18;00:18:50.000;00:00:02.000;EasyTag
21;00:18:52.000;00:00:08.000;EasyTag
17;00:19:00.000;00:00:09.000;EasyTag
27;00:19:09.000;00:00:10.000;EasyTag
6;00:19:19.000;00:00:03.000;EasyTag
5;00:19:22.000;00:00:05.000;EasyTag
23;00:19:27.000;00:00:02.000;EasyTag
25;00:19:29.000;00:00:04.000;EasyTag
16;00:19:33.000;00:00:01.000;EasyTag
2;00:19:34.000;00:00:02.000;EasyTag
8;00:19:36.000;00:00:03.000;EasyTag
10;00:19:39.000;00:00:03.000;EasyTag
9;00:19:42.000;00:00:04.000;EasyTag
12;00:19:46.000;00:00:01.000;EasyTag
7;00:19:47.000;00:00:06.000;EasyTag
19;00:19:53.000;00:00:02.000;EasyTag
26;00:19:55.000;00:00:02.000;EasyTag
24;00:19:57.000;00:00:03.000;EasyTag
22;00:20:00.000;00:00:02.000;EasyTag
18;00:20:02.000;00:00:05.000;EasyTag
11;00:20:07.000;00:00:05.000;EasyTag
13;00:20:12.000;00:00:02.000;EasyTag
14;00:20:14.000;00:00:04.000;EasyTag
28;00:20:18.000;00:00:04.000;EasyTag
3;00:20:22.000;00:00:05.000;EasyTag
17;00:20:27.000;00:00:02.000;EasyTag
21;00:20:29.000;00:00:02.000;EasyTag
27;00:20:31.000;00:00:30.000;EasyTag
6;00:21:01.000;00:00:27.000;EasyTag
5;00:21:28.000;00:02:22.000;EasyTag
