Name;Position;Duration;EasyTag
17;00:18:18.000;00:00:09.000;EasyTag
13;00:18:27.000;00:00:10.000;EasyTag
19;00:18:37.000;00:00:02.000;EasyTag
23;00:18:39.000;00:00:02.000;EasyTag
14;00:18:41.000;00:00:01.000;EasyTag
25;00:18:42.000;00:00:01.000;EasyTag
2;00:18:43.000;00:00:00.000;EasyTag
3;00:18:43.000;00:00:04.000;EasyTag
10;00:18:47.000;00:00:03.000;EasyTag
18;00:18:50.000;00:00:08.000;EasyTag
20;00:18:58.000;00:00:06.000;EasyTag
8;00:19:04.000;00:00:01.000;EasyTag
11;00:19:05.000;00:00:02.000;EasyTag
24;00:19:07.000;00:00:01.000;EasyTag
22;00:19:08.000;00:00:03.000;EasyTag
21;00:19:11.000;00:00:10.000;EasyTag
9;00:19:21.000;00:00:05.000;EasyTag
6;00:19:26.000;00:00:02.000;EasyTag
4;00:19:28.000;00:00:02.000;EasyTag
17;00:19:30.000;00:00:03.000;EasyTag
13;00:19:33.000;00:00:01.000;EasyTag
15;00:19:34.000;00:00:02.000;EasyTag
16;00:19:36.000;00:00:11.000;EasyTag
12;00:19:47.000;00:00:01.000;EasyTag
3;00:19:48.000;00:00:02.000;EasyTag
25;00:19:50.000;00:00:02.000;EasyTag
19;00:19:52.000;00:00:01.000;EasyTag
1;00:19:53.000;00:00:01.000;EasyTag
23;00:19:54.000;00:00:04.000;EasyTag
18;00:19:58.000;00:00:04.000;EasyTag
14;00:20:02.000;00:00:06.000;EasyTag
10;00:20:08.000;00:00:01.000;EasyTag
2;00:20:09.000;00:00:02.000;EasyTag
24;00:20:11.000;00:00:05.000;EasyTag
20;00:20:16.000;00:00:01.000;EasyTag
9;00:20:17.000;00:00:04.000;EasyTag
7;00:20:21.000;00:00:03.000;EasyTag
6;00:20:24.000;00:00:02.000;EasyTag
8;00:20:26.000;00:00:11.000;EasyTag
22;00:20:37.000;00:00:05.000;EasyTag
11;00:20:42.000;00:00:07.000;EasyTag
21;00:20:49.000;00:00:02.000;EasyTag
4;00:20:51.000;00:00:32.000;EasyTag
16;00:21:23.000;00:00:03.000;EasyTag
